direction,row_R@1,row_R@5,row_R@10,row_MRR,compound_R@1,compound_R@5,compound_R@10,compound_MRR
expr->mol,0.0,0.0,0.018532246351242065,0.009535375982522964,0.017777778208255768,0.07111111283302307,0.1066666692495346,0.05731052905321121
expr->morph,0.06671608239412308,0.2246108204126358,0.3417346179485321,0.153644397854805,0.41333332657814026,0.7555555701255798,0.897777795791626,0.562932550907135
mol->expr,0.002223869552835822,0.014084506779909134,0.02668643370270729,0.01331338007003069,0.017777778208255768,0.06666667014360428,0.12444444745779037,0.05413300544023514
mol->morph,0.0037064491771161556,0.017049666494131088,0.030392883345484734,0.015511737205088139,0.02222222276031971,0.08444444090127945,0.13333334028720856,0.06355662643909454
morph->expr,0.06745737791061401,0.22979985177516937,0.35211268067359924,0.15521053969860077,0.42222222685813904,0.7733333110809326,0.8844444155693054,0.5764933228492737
morph->mol,0.0,0.0,0.024462565779685974,0.010365200228989124,0.02222222276031971,0.07999999821186066,0.14222222566604614,0.06020203232765198
